"","Survived","Pclass","Sex","Age","SibSp","Parch","Fare","Embarked","Title","Deck","HasCabin","Fam","IsAlone","Adult"
"29",1,3,"female",14.5,0,0,7.8792,"Q","Miss","Z",0,1,1,0
"30",0,3,"male",31,0,0,7.8958,"S","Mr","Z",0,1,1,1
"31",0,1,"male",40,0,0,27.7208,"C","Mr","Z",0,1,1,1
"32",1,1,"female",52,1,0,146.5208,"C","Mrs","B",1,2,0,1
"33",1,3,"female",21,0,0,7.75,"Q","Miss","Z",0,1,1,1
"34",0,2,"male",66,0,0,10.5,"S","Mr","Z",0,1,1,1
"35",0,1,"male",28,1,0,82.1708,"C","Mr","Z",0,2,0,1
"36",0,1,"male",42,1,0,52,"S","Mr","Z",0,2,0,1
"37",1,3,"male",22,0,0,7.2292,"C","Mr","Z",0,1,1,1
"38",0,3,"male",21,0,0,8.05,"S","Mr","Z",0,1,1,1
"39",0,3,"female",18,2,0,18,"S","Miss","Z",0,3,0,1
"40",1,3,"female",14,1,0,11.2417,"C","Miss","Z",0,2,0,0
"41",0,3,"female",40,1,0,9.475,"S","Mrs","Z",0,2,0,1
"42",0,2,"female",27,1,0,21,"S","Mrs","Z",0,2,0,1
"43",0,3,"male",19,0,0,7.8958,"C","Mr","Z",0,1,1,1
"44",1,2,"female",3,1,2,41.5792,"C","Miss","Z",0,4,0,0
"45",1,3,"female",19,0,0,7.8792,"Q","Miss","Z",0,1,1,1
"46",0,3,"male",36,0,0,8.05,"S","Mr","Z",0,1,1,1
"47",0,3,"male",63,1,0,15.5,"Q","Mr","Z",0,2,0,1
"48",1,3,"female",14,0,0,7.75,"Q","Miss","Z",0,1,1,0
"49",0,3,"male",39,2,0,21.6792,"C","Mr","Z",0,3,0,1
"50",0,3,"female",18,1,0,17.8,"S","Mrs","Z",0,2,0,1
"51",0,3,"male",7,4,1,39.6875,"S","Master","Z",0,6,0,0
"52",0,3,"male",21,0,0,7.8,"S","Mr","Z",0,1,1,1
"53",1,1,"female",49,1,0,76.7292,"C","Mrs","D",1,2,0,1
"54",1,2,"female",29,1,0,26,"S","Mrs","Z",0,2,0,1
"55",0,1,"male",65,0,1,61.9792,"C","Mr","B",1,2,0,1
"56",1,1,"male",38,0,0,35.5,"S","Mr","C",1,1,1,1
"57",1,2,"female",21,0,0,10.5,"S","Miss","Z",0,1,1,1
"58",0,3,"male",28.5,0,0,7.2292,"C","Mr","Z",0,1,1,1
"59",1,2,"female",5,1,2,27.75,"S","Miss","Z",0,4,0,0
"60",0,3,"male",11,5,2,46.9,"S","Master","Z",0,8,0,0
"61",0,3,"male",22,0,0,7.2292,"C","Mr","Z",0,1,1,1
"62",1,1,"female",38,0,0,80,"S","Miss","B",1,1,1,1
"63",0,1,"male",45,1,0,83.475,"S","Mr","C",1,2,0,1
"64",0,3,"male",4,3,2,27.9,"S","Master","Z",0,6,0,0
"65",0,1,"male",54,0,0,27.7208,"C","Mr","Z",0,1,1,1
"66",1,3,"male",1,1,1,15.2458,"C","Master","Z",0,3,0,0
"67",1,2,"female",29,0,0,10.5,"S","Mrs","F",1,1,1,1
"68",0,3,"male",19,0,0,8.1583,"S","Mr","Z",0,1,1,1
"69",1,3,"female",17,4,2,7.925,"S","Miss","Z",0,7,0,0
"70",0,3,"male",26,2,0,8.6625,"S","Mr","Z",0,3,0,1
"71",0,2,"male",32,0,0,10.5,"S","Mr","Z",0,1,1,1
"72",0,3,"female",16,5,2,46.9,"S","Miss","Z",0,8,0,0
"73",0,2,"male",21,0,0,73.5,"S","Mr","Z",0,1,1,1
"74",0,3,"male",26,1,0,14.4542,"C","Mr","Z",0,2,0,1
"75",1,3,"male",32,0,0,56.4958,"S","Mr","Z",0,1,1,1
"76",0,3,"male",25,0,0,7.65,"S","Mr","F",1,1,1,1
"77",0,3,"male",19,0,0,7.8958,"S","Mr","Z",0,1,1,1
"78",0,3,"male",22,0,0,8.05,"S","Mr","Z",0,1,1,1
"79",1,2,"male",0.83,0,2,29,"S","Master","Z",0,3,0,0
"80",1,3,"female",30,0,0,12.475,"S","Miss","Z",0,1,1,1
"81",0,3,"male",22,0,0,9,"S","Mr","Z",0,1,1,1
"82",1,3,"male",29,0,0,9.5,"S","Mr","Z",0,1,1,1
"83",1,3,"female",14.5,0,0,7.7875,"Q","Miss","Z",0,1,1,0
"84",0,1,"male",28,0,0,47.1,"S","Mr","Z",0,1,1,1
"85",1,2,"female",17,0,0,10.5,"S","Miss","Z",0,1,1,0
"86",1,3,"female",33,3,0,15.85,"S","Mrs","Z",0,4,0,1
"87",0,3,"male",16,1,3,34.375,"S","Mr","Z",0,5,0,0
"88",0,3,"male",36,0,0,8.05,"S","Mr","Z",0,1,1,1
"89",1,1,"female",23,3,2,263,"S","Miss","C",1,6,0,1
"90",0,3,"male",24,0,0,8.05,"S","Mr","Z",0,1,1,1
"91",0,3,"male",29,0,0,8.05,"S","Mr","Z",0,1,1,1
"92",0,3,"male",20,0,0,7.8542,"S","Mr","Z",0,1,1,1
"93",0,1,"male",46,1,0,61.175,"S","Mr","E",1,2,0,1
"94",0,3,"male",26,1,2,20.575,"S","Mr","Z",0,4,0,1
"95",0,3,"male",59,0,0,7.25,"S","Mr","Z",0,1,1,1
"96",0,3,"male",31,0,0,8.05,"S","Mr","Z",0,1,1,1
"97",0,1,"male",71,0,0,34.6542,"C","Mr","A",1,1,1,1
"98",1,1,"male",23,0,1,63.3583,"C","Mr","D",1,2,0,1
"99",1,2,"female",34,0,1,23,"S","Mrs","Z",0,2,0,1
"100",0,2,"male",34,1,0,26,"S","Mr","Z",0,2,0,1
"101",0,3,"female",28,0,0,7.8958,"S","Miss","Z",0,1,1,1
"102",0,3,"male",22,0,0,7.8958,"S","Mr","Z",0,1,1,1
"103",0,1,"male",21,0,1,77.2875,"S","Mr","D",1,2,0,1
"104",0,3,"male",33,0,0,8.6542,"S","Mr","Z",0,1,1,1
"105",0,3,"male",37,2,0,7.925,"S","Mr","Z",0,3,0,1
"106",0,3,"male",28,0,0,7.8958,"S","Mr","Z",0,1,1,1
"107",1,3,"female",21,0,0,7.65,"S","Miss","Z",0,1,1,1
"108",1,3,"male",22,0,0,7.775,"S","Mr","Z",0,1,1,1
"109",0,3,"male",38,0,0,7.8958,"S","Mr","Z",0,1,1,1
"110",1,3,"female",11,1,0,24.15,"Q","Miss","Z",0,2,0,0
"111",0,1,"male",47,0,0,52,"S","Mr","C",1,1,1,1
"112",0,3,"female",14.5,1,0,14.4542,"C","Miss","Z",0,2,0,0
"113",0,3,"male",22,0,0,8.05,"S","Mr","Z",0,1,1,1
"114",0,3,"female",20,1,0,9.825,"S","Miss","Z",0,2,0,1
"115",0,3,"female",17,0,0,14.4583,"C","Miss","Z",0,1,1,0
"116",0,3,"male",21,0,0,7.925,"S","Mr","Z",0,1,1,1
"117",0,3,"male",70.5,0,0,7.75,"Q","Mr","Z",0,1,1,1
"118",0,2,"male",29,1,0,21,"S","Mr","Z",0,2,0,1
"119",0,1,"male",24,0,1,247.5208,"C","Mr","B",1,2,0,1
"120",0,3,"female",2,4,2,31.275,"S","Miss","Z",0,7,0,0
"121",0,2,"male",21,2,0,73.5,"S","Mr","Z",0,3,0,1
"122",0,3,"male",31,0,0,8.05,"S","Mr","Z",0,1,1,1
"123",0,2,"male",32.5,1,0,30.0708,"C","Mr","Z",0,2,0,1
"124",1,2,"female",32.5,0,0,13,"S","Miss","E",1,1,1,1
"125",0,1,"male",54,0,1,77.2875,"S","Mr","D",1,2,0,1
"126",1,3,"male",12,1,0,11.2417,"C","Master","Z",0,2,0,0
"127",0,3,"male",36,0,0,7.75,"Q","Mr","Z",0,1,1,1
"128",1,3,"male",24,0,0,7.1417,"S","Mr","Z",0,1,1,1
"129",1,3,"female",9,1,1,22.3583,"C","Miss","E",1,3,0,0
"130",0,3,"male",45,0,0,6.975,"S","Mr","Z",0,1,1,1
"131",0,3,"male",33,0,0,7.8958,"C","Mr","Z",0,1,1,1
"132",0,3,"male",20,0,0,7.05,"S","Mr","Z",0,1,1,1
"133",0,3,"female",47,1,0,14.5,"S","Mrs","Z",0,2,0,1
"134",1,2,"female",29,1,0,26,"S","Mrs","Z",0,2,0,1
"135",0,2,"male",25,0,0,13,"S","Mr","Z",0,1,1,1
"136",0,2,"male",23,0,0,15.0458,"C","Mr","Z",0,1,1,1
"137",1,1,"female",19,0,2,26.2833,"S","Miss","D",1,3,0,1
"138",0,1,"male",37,1,0,53.1,"S","Mr","C",1,2,0,1
"139",0,3,"male",16,0,0,9.2167,"S","Mr","Z",0,1,1,0
"140",0,1,"male",24,0,0,79.2,"C","Mr","B",1,1,1,1
"141",0,3,"female",27,0,2,15.2458,"C","Mrs","Z",0,3,0,1
"142",1,3,"female",22,0,0,7.75,"S","Miss","Z",0,1,1,1
"143",1,3,"female",24,1,0,15.85,"S","Mrs","Z",0,2,0,1
"144",0,3,"male",19,0,0,6.75,"Q","Mr","Z",0,1,1,1
"145",0,2,"male",18,0,0,11.5,"S","Mr","Z",0,1,1,1
"146",0,2,"male",19,1,1,36.75,"S","Mr","Z",0,3,0,1
"147",1,3,"male",27,0,0,7.7958,"S","Mr","Z",0,1,1,1
"148",0,3,"female",9,2,2,34.375,"S","Miss","Z",0,5,0,0
"149",0,2,"male",36.5,0,2,26,"S","Mr","F",1,3,0,1
"150",0,2,"male",42,0,0,13,"S","Mr","Z",0,1,1,1
"151",0,2,"male",51,0,0,12.525,"S","Mr","Z",0,1,1,1
"152",1,1,"female",22,1,0,66.6,"S","Mrs","C",1,2,0,1
"153",0,3,"male",55.5,0,0,8.05,"S","Mr","Z",0,1,1,1
"154",0,3,"male",40.5,0,2,14.5,"S","Mr","Z",0,3,0,1
"155",0,3,"male",19,0,0,7.3125,"S","Mr","Z",0,1,1,1
"156",0,1,"male",51,0,1,61.3792,"C","Mr","Z",0,2,0,1
"157",1,3,"female",16,0,0,7.7333,"Q","Miss","Z",0,1,1,0
"158",0,3,"male",30,0,0,8.05,"S","Mr","Z",0,1,1,1
"159",0,3,"male",19,0,0,8.6625,"S","Mr","Z",0,1,1,1
"160",0,3,"male",9,8,2,69.55,"S","Master","Z",0,11,0,0
"161",0,3,"male",44,0,1,16.1,"S","Mr","Z",0,2,0,1
"162",1,2,"female",40,0,0,15.75,"S","Mrs","Z",0,1,1,1
"163",0,3,"male",26,0,0,7.775,"S","Mr","Z",0,1,1,1
"164",0,3,"male",17,0,0,8.6625,"S","Mr","Z",0,1,1,0
"165",0,3,"male",1,4,1,39.6875,"S","Master","Z",0,6,0,0
"166",1,3,"male",9,0,2,20.525,"S","Master","Z",0,3,0,0
"167",1,1,"female",58,0,1,55,"S","Mrs","E",1,2,0,1
"168",0,3,"female",45,1,4,27.9,"S","Mrs","Z",0,6,0,1
"169",0,1,"male",21,0,0,25.925,"S","Mr","Z",0,1,1,1
"170",0,3,"male",28,0,0,56.4958,"S","Mr","Z",0,1,1,1
"171",0,1,"male",61,0,0,33.5,"S","Mr","B",1,1,1,1
"172",0,3,"male",4,4,1,29.125,"Q","Master","Z",0,6,0,0
"173",1,3,"female",1,1,1,11.1333,"S","Miss","Z",0,3,0,0
"174",0,3,"male",21,0,0,7.925,"S","Mr","Z",0,1,1,1
"175",0,1,"male",56,0,0,30.6958,"C","Mr","A",1,1,1,1
"176",0,3,"male",18,1,1,7.8542,"S","Mr","Z",0,3,0,1
"177",0,3,"male",7,3,1,25.4667,"S","Master","Z",0,5,0,0
"178",0,1,"female",50,0,0,28.7125,"C","Miss","C",1,1,1,1
"179",0,2,"male",30,0,0,13,"S","Mr","Z",0,1,1,1
"180",0,3,"male",36,0,0,22.1178868852459,"S","Mr","Z",0,1,1,1
"181",0,3,"female",1,8,2,69.55,"S","Miss","Z",0,11,0,0
"182",0,2,"male",28,0,0,15.05,"C","Mr","Z",0,1,1,1
"183",0,3,"male",9,4,2,31.3875,"S","Master","Z",0,7,0,0
"184",1,2,"male",1,2,1,39,"S","Master","F",1,4,0,0
"185",1,3,"female",4,0,2,22.025,"S","Miss","Z",0,3,0,0
"186",0,1,"male",24,0,0,50,"S","Mr","A",1,1,1,1
"187",1,3,"female",22,1,0,15.5,"Q","Mrs","Z",0,2,0,1
"188",1,1,"male",45,0,0,26.55,"S","Mr","Z",0,1,1,1
"189",0,3,"male",40,1,1,15.5,"Q","Mr","Z",0,3,0,1
"190",0,3,"male",36,0,0,7.8958,"S","Mr","Z",0,1,1,1
"191",1,2,"female",32,0,0,13,"S","Mrs","Z",0,1,1,1
"192",0,2,"male",19,0,0,13,"S","Mr","Z",0,1,1,1
"193",1,3,"female",19,1,0,7.8542,"S","Miss","Z",0,2,0,1
"194",1,2,"male",3,1,1,26,"S","Master","F",1,3,0,0
"195",1,1,"female",44,0,0,27.7208,"C","Mrs","B",1,1,1,1
"196",1,1,"female",58,0,0,146.5208,"C","Miss","B",1,1,1,1
"197",0,3,"male",22,0,0,7.75,"Q","Mr","Z",0,1,1,1
"198",0,3,"male",42,0,1,8.4042,"S","Mr","Z",0,2,0,1
"199",1,3,"female",19,0,0,7.75,"Q","Miss","Z",0,1,1,1
"200",0,2,"female",24,0,0,13,"S","Mrs","Z",0,1,1,1
"201",0,3,"male",28,0,0,9.5,"S","Mr","Z",0,1,1,1
"202",0,3,"male",14,8,2,69.55,"S","Mr","Z",0,11,0,0
"203",0,3,"male",34,0,0,6.4958,"S","Mr","Z",0,1,1,1
"204",0,3,"male",45.5,0,0,7.225,"C","Mr","Z",0,1,1,1
"205",1,3,"male",18,0,0,8.05,"S","Mr","Z",0,1,1,1
"206",0,3,"female",2,0,1,10.4625,"S","Miss","G",1,2,0,0
"207",0,3,"male",32,1,0,15.85,"S","Mr","Z",0,2,0,1
"208",1,3,"male",26,0,0,18.7875,"C","Mr","Z",0,1,1,1
"209",1,3,"female",16,0,0,7.75,"Q","Miss","Z",0,1,1,0
"210",1,1,"male",40,0,0,31,"C","Mr","A",1,1,1,1
"211",0,3,"male",24,0,0,7.05,"S","Mr","Z",0,1,1,1
"212",1,2,"female",35,0,0,21,"S","Miss","Z",0,1,1,1
"213",0,3,"male",22,0,0,7.25,"S","Mr","Z",0,1,1,1
"214",0,2,"male",30,0,0,13,"S","Mr","Z",0,1,1,1
"215",0,3,"male",33,1,0,7.75,"Q","Mr","Z",0,2,0,1
"216",1,1,"female",31,1,0,113.275,"C","Miss","D",1,2,0,1
"217",1,3,"female",27,0,0,7.925,"S","Miss","Z",0,1,1,1
"218",0,2,"male",42,1,0,27,"S","Mr","Z",0,2,0,1
"219",1,1,"female",32,0,0,76.2917,"C","Miss","D",1,1,1,1
"220",0,2,"male",30,0,0,10.5,"S","Mr","Z",0,1,1,1
"221",1,3,"male",16,0,0,8.05,"S","Mr","Z",0,1,1,0
"222",0,2,"male",27,0,0,13,"S","Mr","Z",0,1,1,1
"223",0,3,"male",51,0,0,8.05,"S","Mr","Z",0,1,1,1
"224",0,3,"male",19,0,0,7.8958,"S","Mr","Z",0,1,1,1
"225",1,1,"male",38,1,0,90,"S","Mr","C",1,2,0,1
"226",0,3,"male",22,0,0,9.35,"S","Mr","Z",0,1,1,1
"227",1,2,"male",19,0,0,10.5,"S","Mr","Z",0,1,1,1
"228",0,3,"male",20.5,0,0,7.25,"S","Mr","Z",0,1,1,1
"229",0,2,"male",18,0,0,13,"S","Mr","Z",0,1,1,1
"230",0,3,"female",0.75,3,1,25.4667,"S","Miss","Z",0,5,0,0
"231",1,1,"female",35,1,0,83.475,"S","Mrs","C",1,2,0,1
"232",0,3,"male",29,0,0,7.775,"S","Mr","Z",0,1,1,1
"233",0,2,"male",59,0,0,13.5,"S","Mr","Z",0,1,1,1
"234",1,3,"female",5,4,2,31.3875,"S","Miss","Z",0,7,0,0
"235",0,2,"male",24,0,0,10.5,"S","Mr","Z",0,1,1,1
"236",0,3,"female",14,0,0,7.55,"S","Miss","Z",0,1,1,0
"237",0,2,"male",44,1,0,26,"S","Mr","Z",0,2,0,1
"238",1,2,"female",8,0,2,26.25,"S","Miss","Z",0,3,0,0
"239",0,2,"male",19,0,0,10.5,"S","Mr","Z",0,1,1,1
"240",0,2,"male",33,0,0,12.275,"S","Mr","Z",0,1,1,1
"241",0,3,"female",0.92,1,0,14.4542,"C","Miss","Z",0,2,0,0
"242",1,3,"female",11,1,0,15.5,"Q","Miss","Z",0,2,0,0
"243",0,2,"male",29,0,0,10.5,"S","Mr","Z",0,1,1,1
"244",0,3,"male",22,0,0,7.125,"S","Mr","Z",0,1,1,1
"245",0,3,"male",30,0,0,7.225,"C","Mr","Z",0,1,1,1
"246",0,1,"male",44,2,0,90,"Q","Mr","C",1,3,0,1
"247",0,3,"female",25,0,0,7.775,"S","Miss","Z",0,1,1,1
"248",1,2,"female",24,0,2,14.5,"S","Mrs","Z",0,3,0,1
"249",1,1,"male",37,1,1,52.5542,"S","Mr","D",1,3,0,1
"250",0,2,"male",54,1,0,26,"S","Mr","Z",0,2,0,1
"251",0,3,"male",31,0,0,7.25,"S","Mr","Z",0,1,1,1
"252",0,3,"female",29,1,1,10.4625,"S","Mrs","G",1,3,0,1
"253",0,1,"male",62,0,0,26.55,"S","Mr","C",1,1,1,1
"254",0,3,"male",30,1,0,16.1,"S","Mr","Z",0,2,0,1
"255",0,3,"female",41,0,2,20.2125,"S","Mrs","Z",0,3,0,1
"256",1,3,"female",29,0,2,15.2458,"C","Mrs","Z",0,3,0,1
"257",1,1,"female",50,0,0,79.2,"C","Mrs","Z",0,1,1,1
"258",1,1,"female",30,0,0,86.5,"S","Miss","B",1,1,1,1
"259",1,1,"female",35,0,0,512.3292,"C","Miss","Z",0,1,1,1
"260",1,2,"female",50,0,1,26,"S","Mrs","Z",0,2,0,1
"261",0,3,"male",19,0,0,7.75,"Q","Mr","Z",0,1,1,1
"262",1,3,"male",3,4,2,31.3875,"S","Master","Z",0,7,0,0
"263",0,1,"male",52,1,1,79.65,"S","Mr","E",1,3,0,1
"264",0,1,"male",40,0,0,22.1178868852459,"S","Mr","B",1,1,1,1
"265",0,3,"female",21,0,0,7.75,"Q","Miss","Z",0,1,1,1
"266",0,2,"male",36,0,0,10.5,"S","Mr","Z",0,1,1,1
"267",0,3,"male",16,4,1,39.6875,"S","Mr","Z",0,6,0,0
"268",1,3,"male",25,1,0,7.775,"S","Mr","Z",0,2,0,1
"269",1,1,"female",58,0,1,153.4625,"S","Mrs","C",1,2,0,1
"270",1,1,"female",35,0,0,135.6333,"S","Miss","C",1,1,1,1
"271",0,1,"male",38,0,0,31,"S","Mr","Z",0,1,1,1
"272",1,3,"male",25,0,0,48.3954076023392,"S","Mr","Z",0,1,1,1
"273",1,2,"female",41,0,1,19.5,"S","Mrs","Z",0,2,0,1
"274",0,1,"male",37,0,1,29.7,"C","Mr","C",1,2,0,1
"275",1,3,"female",21,0,0,7.75,"Q","Miss","Z",0,1,1,1
"276",1,1,"female",63,1,0,77.9583,"S","Miss","D",1,2,0,1
"277",0,3,"female",45,0,0,7.75,"S","Miss","Z",0,1,1,1
"278",0,2,"male",24,0,0,22.1178868852459,"S","Mr","Z",0,1,1,1
"279",0,3,"male",7,4,1,29.125,"Q","Master","Z",0,6,0,0
"280",1,3,"female",35,1,1,20.25,"S","Mrs","Z",0,3,0,1
"281",0,3,"male",65,0,0,7.75,"Q","Mr","Z",0,1,1,1
"282",0,3,"male",28,0,0,7.8542,"S","Mr","Z",0,1,1,1
"283",0,3,"male",16,0,0,9.5,"S","Mr","Z",0,1,1,0
"284",1,3,"male",19,0,0,8.05,"S","Mr","Z",0,1,1,1
"285",0,1,"male",51,0,0,26,"S","Mr","A",1,1,1,1
"286",0,3,"male",33,0,0,8.6625,"C","Mr","Z",0,1,1,1
"287",1,3,"male",30,0,0,9.5,"S","Mr","Z",0,1,1,1
"288",0,3,"male",22,0,0,7.8958,"S","Mr","Z",0,1,1,1
"289",1,2,"male",42,0,0,13,"S","Mr","Z",0,1,1,1
"290",1,3,"female",22,0,0,7.75,"Q","Miss","Z",0,1,1,1
"291",1,1,"female",26,0,0,78.85,"S","Miss","Z",0,1,1,1
"292",1,1,"female",19,1,0,91.0792,"C","Mrs","B",1,2,0,1
"293",0,2,"male",36,0,0,12.875,"C","Mr","D",1,1,1,1
"294",0,3,"female",24,0,0,8.85,"S","Miss","Z",0,1,1,1
"295",0,3,"male",24,0,0,7.8958,"S","Mr","Z",0,1,1,1
"296",0,1,"male",65,0,0,27.7208,"C","Mr","Z",0,1,1,1
"297",0,3,"male",23.5,0,0,7.2292,"C","Mr","Z",0,1,1,1
"298",0,1,"female",2,1,2,151.55,"S","Miss","C",1,4,0,0
"299",1,1,"male",37,0,0,30.5,"S","Mr","C",1,1,1,1
"300",1,1,"female",50,0,1,247.5208,"C","Mrs","B",1,2,0,1
"301",1,3,"female",19,0,0,7.75,"Q","Miss","Z",0,1,1,1
"302",1,3,"male",26,2,0,23.25,"Q","Mr","Z",0,3,0,1
"303",0,3,"male",19,0,0,22.1178868852459,"S","Mr","Z",0,1,1,1
"304",1,2,"female",27,0,0,12.35,"Q","Miss","E",1,1,1,1
"305",0,3,"male",31,0,0,8.05,"S","Mr","Z",0,1,1,1
"306",1,1,"male",0.92,1,2,151.55,"S","Master","C",1,4,0,0
"307",1,1,"female",23,0,0,110.8833,"C","Miss","Z",0,1,1,1
"308",1,1,"female",17,1,0,108.9,"C","Mrs","C",1,2,0,0
"309",0,2,"male",30,1,0,24,"C","Mr","Z",0,2,0,1
"310",1,1,"female",30,0,0,56.9292,"C","Miss","E",1,1,1,1
"311",1,1,"female",24,0,0,83.1583,"C","Miss","C",1,1,1,1
"312",1,1,"female",18,2,2,262.375,"C","Miss","B",1,5,0,1
"313",0,2,"female",26,1,1,26,"S","Mrs","Z",0,3,0,1
"314",0,3,"male",28,0,0,7.8958,"S","Mr","Z",0,1,1,1
"315",0,2,"male",43,1,1,26.25,"S","Mr","Z",0,3,0,1
"316",1,3,"female",26,0,0,7.8542,"S","Miss","Z",0,1,1,1
"317",1,2,"female",24,1,0,26,"S","Mrs","Z",0,2,0,1
"318",0,2,"male",54,0,0,14,"S","Mr","Z",0,1,1,1
"319",1,1,"female",31,0,2,164.8667,"S","Miss","C",1,3,0,1
"320",1,1,"female",40,1,1,134.5,"C","Mrs","E",1,3,0,1
"321",0,3,"male",22,0,0,7.25,"S","Mr","Z",0,1,1,1
"322",0,3,"male",27,0,0,7.8958,"S","Mr","Z",0,1,1,1
"323",1,2,"female",30,0,0,12.35,"Q","Miss","Z",0,1,1,1
"324",1,2,"female",22,1,1,29,"S","Mrs","Z",0,3,0,1
"325",0,3,"male",24,8,2,69.55,"S","Mr","Z",0,11,0,1
"326",1,1,"female",36,0,0,135.6333,"C","Miss","C",1,1,1,1
"327",0,3,"male",61,0,0,6.2375,"S","Mr","Z",0,1,1,1
"328",1,2,"female",36,0,0,13,"S","Mrs","D",1,1,1,1
"329",1,3,"female",31,1,1,20.525,"S","Mrs","Z",0,3,0,1
"330",1,1,"female",16,0,1,57.9792,"C","Miss","B",1,2,0,0
"331",1,3,"female",18,2,0,23.25,"Q","Miss","Z",0,3,0,1
"332",0,1,"male",45.5,0,0,28.5,"S","Mr","C",1,1,1,1
"333",0,1,"male",38,0,1,153.4625,"S","Mr","C",1,2,0,1
"334",0,3,"male",16,2,0,18,"S","Mr","Z",0,3,0,0
"335",1,1,"female",39,1,0,133.65,"S","Mrs","Z",0,2,0,1
"336",0,3,"male",22,0,0,7.8958,"S","Mr","Z",0,1,1,1
"337",0,1,"male",29,1,0,66.6,"S","Mr","C",1,2,0,1
"338",1,1,"female",41,0,0,134.5,"C","Miss","E",1,1,1,1
"339",1,3,"male",45,0,0,8.05,"S","Mr","Z",0,1,1,1
"340",0,1,"male",45,0,0,35.5,"S","Mr","Z",1,1,1,1
"341",1,2,"male",2,1,1,26,"S","Master","F",1,3,0,0
"342",1,1,"female",24,3,2,263,"S","Miss","C",1,6,0,1
"343",0,2,"male",28,0,0,13,"S","Mr","Z",0,1,1,1
"344",0,2,"male",25,0,0,13,"S","Mr","Z",0,1,1,1
"345",0,2,"male",36,0,0,13,"S","Mr","Z",0,1,1,1
"346",1,2,"female",24,0,0,13,"S","Miss","F",1,1,1,1
"347",1,2,"female",40,0,0,13,"S","Miss","Z",0,1,1,1
"348",1,3,"female",15,1,0,16.1,"S","Mrs","Z",0,2,0,0
"349",1,3,"male",3,1,1,15.9,"S","Master","Z",0,3,0,0
"350",0,3,"male",42,0,0,8.6625,"S","Mr","Z",0,1,1,1
"351",0,3,"male",23,0,0,9.225,"S","Mr","Z",0,1,1,1
"352",0,1,"male",51,0,0,35,"S","Mr","C",1,1,1,1
"353",0,3,"male",15,1,1,7.2292,"C","Mr","Z",0,3,0,0
"354",0,3,"male",25,1,0,17.8,"S","Mr","Z",0,2,0,1
"355",0,3,"male",19,0,0,7.225,"C","Mr","Z",0,1,1,1
"356",0,3,"male",28,0,0,9.5,"S","Mr","Z",0,1,1,1
"357",1,1,"female",22,0,1,55,"S","Miss","E",1,2,0,1
"358",0,2,"female",38,0,0,13,"S","Miss","Z",0,1,1,1
"359",1,3,"female",14.5,0,0,7.8792,"Q","Miss","Z",0,1,1,0
"360",1,3,"female",14.5,0,0,7.8792,"Q","Miss","Z",0,1,1,0
"361",0,3,"male",40,1,4,27.9,"S","Mr","Z",0,6,0,1
"362",0,2,"male",29,1,0,27.7208,"C","Mr","Z",0,2,0,1
"363",0,3,"female",45,0,1,14.4542,"C","Mrs","Z",0,2,0,1
"364",0,3,"male",35,0,0,7.05,"S","Mr","Z",0,1,1,1
